Block	Agreement	SNP count
1057	match	3
1058	match	2
1059	match	2
1060	match	3
1061	match	8
1062	match	2
1063	match	2
1064	match	2
1065	match	2
1066	match	2
1067	match	3
1068	match	3
1069	match	2
1070	match	4
1071	match	8
1072	match	4
1073	match	4
1074	match	9
1075	match	3
1076	match	2
1077	match	3
1078	match	2
1079	match	2
1080	match	2
1081	match	3
1082	match	5
1083	match	2
1084	match	5
1085	match	3
1086	match	2
1087	match	7
1088	-	8
1089	match	2
1090	match	2
1091	match	4
1092	match	4
1093	match	3
1094	match	2
1095	match	2
1096	match	2
1097	match	8
1098	match	2
1099	match	3
1100	match	5
1101	match	2
1102	-	9
1103	match	5
1104	match	4
1105	match	2
1106	match	3
1107	match	3
1108	match	9
1109	match	2
1110	match	2
1111	match	3
1112	match	3
1113	match	2
1114	match	2
1115	match	5
1116	match	2
1117	match	2
1118	match	2
1119	match	2
1120	match	3
1121	match	3
1122	match	7
1123	match	13
1124	match	2
1125	match	5
1126	match	4
1127	match	2
1128	match	2
1129	match	2
1130	match	2
1131	match	2
1132	match	4
1133	match	3
1134	match	6
1135	match	2
1136	match	2
1137	match	2
1138	match	4
1139	match	2
1140	-	4
1141	match	7
1142	match	4
1143	match	3
1144	match	2
1145	match	2
1146	match	2
1147	match	2
1148	match	2
1149	match	2
1150	match	5
1151	match	2
1152	match	3
1153	match	2
1154	match	6
1155	match	6
1156	match	2
1157	match	2
1158	match	2
1159	match	2
1160	match	2
1161	match	2
1162	match	5
1163	match	2
1164	match	2
1165	match	5
1166	match	2
1167	match	8
1168	match	2
1169	match	6
1170	match	2
1171	match	2
1172	match	3
1173	match	3
1174	match	2
1175	match	3
1176	match	2
1177	match	2
1178	match	2
1179	match	6
1180	match	2
1181	-	2
1182	match	2
1183	match	4
1184	match	3
1185	match	4
1186	match	5
1187	match	2
1188	match	2
1189	match	2
1190	match	7
1191	match	2
1192	match	3
1193	match	2
1194	match	2
1195	match	2
1196	match	2
1197	match	2
1198	match	2
1199	match	3
1200	match	2
1201	match	2
1202	match	2
1203	match	2
1204	match	2
1205	match	2
1206	match	2
1207	match	2
1208	match	2
1209	match	2
1210	match	2
1211	match	2
1212	match	6
1213	match	3
1214	match	3
1215	match	6
1216	match	2
1217	match	2
1218	match	2
1219	match	7
1220	match	2
1221	match	2
1222	match	2
1223	match	2
1224	match	3
1225	match	2
1226	match	2
1227	match	2
1228	match	2
1229	match	2
1230	match	3
1231	match	2
1232	match	2
1233	match	2
1234	match	3
1235	match	2
1236	match	2
1237	match	2
1238	match	2
1239	match	2
1240	match	3
1241	match	3
1242	match	3
1243	match	4
1244	match	4
1245	match	2
1246	match	3
1247	match	6
1248	match	2
1249	match	3
1250	match	2
1251	match	2
1252	match	4
1253	match	2
1254	match	3
1255	match	2
1256	match	6
1257	match	2
1258	match	2
1259	match	3
1260	match	2
1261	match	4
1262	match	2
1263	match	2
1264	match	2
1265	match	3
1266	match	2
1267	match	2
1268	match	2
1269	match	2
1270	match	3
1271	match	3
1272	match	2
1273	match	5
1274	match	2
1275	match	4
1276	match	2
1277	match	3
1278	match	2
1279	match	2
1280	match	2
1281	match	7
1282	match	2
1283	match	4
1284	match	2
1285	match	2
1286	match	2
1287	match	2
1288	match	2
1289	match	2
1290	match	2
1291	match	2
1292	match	3
1293	match	4
1294	match	2
1295	match	2
1296	match	2
1297	match	3
1298	match	3
1299	match	2
1300	match	7
1301	match	2
1302	match	8
1303	match	2
1304	match	3
1305	match	3
1306	match	2
1307	match	2
1308	match	2
1309	match	3
1310	match	3
1311	match	3
1312	match	2
1313	match	3
1314	match	2
1315	match	16
1316	match	2
1317	-	2
1318	match	2
1319	match	2
1320	match	2
1321	match	2
1322	match	2
1323	match	2
1324	match	3
1325	match	2
1326	match	2
1327	match	2
1328	match	2
1329	match	2
1330	match	2
1331	match	3
1332	match	2
1333	match	3
1334	match	3
1335	match	2
1336	match	2
1337	match	2
1338	match	3
1339	match	3
1340	match	2
1341	match	2
1342	match	2
1343	match	2
1344	match	2
1345	match	6
1346	match	3
1347	match	2
1348	match	2
1349	match	2
1350	match	2
1351	match	2
1352	match	7
1353	match	2
1354	match	2
1355	match	2
1356	match	2
1357	match	2
1358	match	3
1359	match	3
1360	match	8
1361	-	9
1362	match	2
1363	-	10
1364	match	2
1365	match	2
1366	match	2
1367	match	3
1368	match	2
1369	match	3
1370	match	2
1371	match	2
1372	match	2
1373	match	3
1374	match	2
1375	match	2
1376	match	3
1377	match	2
1378	match	2
1379	match	2
1380	match	2
1381	-	10
1382	match	2
1383	match	9
1384	match	4
1385	match	2
1386	match	7
1387	match	2
1388	match	3
1389	match	2
1390	match	8
1391	match	7
1392	match	7
1393	match	6
1394	match	6
1395	-	6
1396	match	5
1397	match	2
1398	match	2
1399	match	2
1400	match	2
1401	match	2
1402	match	4
1403	match	2
1404	match	3
1405	match	2
1406	match	3
1407	match	3
1408	match	2
1409	match	9
1410	match	2
1411	match	2
1412	match	2
1413	match	2
1414	match	3
1415	match	2
1416	match	4
1417	match	4
1418	match	3
1419	match	2
1420	match	2
1421	match	2
1422	match	2
1423	match	2
1424	match	2
1425	match	4
1426	match	3
1427	match	8
1428	match	2
1429	match	3
1430	match	2
1431	match	2
1432	match	2
1433	match	3
1434	match	3
1435	match	4
1436	match	2
1437	-	21
1438	match	6
1439	match	3
1440	match	2
1441	match	9
1442	match	2
1443	match	3
1444	match	5
1445	match	3
1446	match	3
1447	match	6
1448	match	11
1449	match	2
1450	match	6
1451	match	4
1452	match	8
1453	match	3
1454	match	2
1455	match	3
1456	match	2
1457	match	2
1458	match	9
1459	match	5
1460	match	2
1461	match	2
1462	match	2
1463	match	5
1464	match	2
1465	match	2
1466	match	3
1467	match	5
1468	match	3
1469	match	2
1470	match	2
1471	match	3
1472	match	2
1473	match	6
1474	match	9
1475	match	3
1476	match	6
1477	match	3
1478	match	5
1479	match	10
1480	match	3
1481	-	11
1482	match	4
1483	match	2
1484	match	2
1485	match	2
1486	match	2
1487	match	2
1488	match	4
1489	match	2
1490	match	2
1491	match	2
1492	match	2
1493	match	6
1494	match	6
1495	match	2
1496	match	2
1497	match	2
1498	match	3
1499	match	3
1500	match	3
1501	match	2
1502	match	5
1503	match	2
1504	match	4
1505	match	2
1506	match	2
1507	match	4
1508	match	2
1509	match	3
1510	match	2
1511	match	2
1512	match	3
1513	match	3
1514	match	5
1515	match	2
1516	match	2
1517	match	3
1518	match	3
1519	match	3
1520	match	4
1521	match	2
1522	match	2
1523	match	2
1524	match	2
1525	match	2
1526	match	3
1527	match	4
1528	match	2
1529	match	2
1530	match	3
1531	match	3
1532	match	7
1533	match	2
1534	match	2
1535	match	3
1536	match	2
1537	match	4
1538	match	3
1539	match	2
1540	match	2
1541	match	3
1542	match	16
1543	match	2
1544	match	3
1545	match	2
1546	match	2
1547	match	2
1548	match	3
1549	match	2
1550	match	5
1551	match	2
1552	match	3
1553	match	3
1554	match	5
1555	match	2
1556	match	2
1557	match	2
1558	match	5
1559	match	2
1560	match	3
1561	match	15
1562	match	2
1563	match	2
1564	match	5
1565	match	2
1566	match	2
1567	match	2
1568	match	3
1569	match	2
1570	match	2
1571	match	4
1572	match	4
1573	match	4
1574	match	2
1575	match	3
1576	match	5
1577	match	2
1578	match	2
1579	match	3
1580	match	3
1581	match	2
1582	-	2
1583	match	6
1584	match	2
1585	match	3
1586	match	2
1587	match	2
1588	match	4
1589	match	2
1590	match	13
1591	match	2
1592	match	3
1593	match	2
1594	match	2
1595	match	2
1596	match	2
1597	match	2
1598	match	2
1599	match	2
1600	match	2
1601	-	10
1602	match	2
1603	match	2
1604	-	11
1605	match	4
1606	match	2
1607	match	2
1608	match	5
1609	match	2
1610	match	2
1611	match	2
1612	match	2
1613	match	2
1614	match	6
1615	match	3
1616	match	2
1617	match	3
1618	match	4
1619	match	2
1620	match	3
1621	match	2
1622	match	5
1623	match	2
1624	-	4
1625	match	2
1626	match	4
1627	match	2
1628	match	3
1629	match	2
1630	match	6
1631	match	7
1632	match	2
1633	match	2
1634	match	2
1635	match	2
1636	match	2
1637	match	4
1638	match	4
1639	match	2
1640	match	6
1641	match	4
1642	match	12
1643	match	3
1644	match	8
1645	-	13
1646	match	2
1647	match	2
1648	match	2
1649	match	6
1650	match	2
1651	match	6
1652	match	3
1653	match	2
1654	match	3
1655	match	4
1656	match	3
1657	match	2
1658	match	4
1659	match	2
1660	match	4
1661	match	2
1662	match	12
1663	match	2
1664	match	2
1665	match	4
1666	match	5
1667	match	5
1668	match	4
1669	match	2
1670	-	15
1671	match	10
1672	match	7
1673	match	2
1674	match	3
1675	match	3
1676	match	4
1677	match	3
1678	-	5
1679	match	4
1680	match	7
1681	match	2
1682	match	3
1683	match	4
1684	match	6
1685	match	2
1686	match	3
1687	match	2
1688	match	2
1689	match	2
1690	match	7
1691	match	5
1692	match	2
1693	match	9
1694	match	4
1695	match	3
1696	match	2
1697	match	4
1698	match	2
1699	match	4
1700	match	2
1701	match	2
1702	match	5
1703	match	2
1704	match	2
1705	-	8
1706	match	5
1707	match	6
1708	match	3
1709	match	2
1710	match	6
1711	match	5
1712	match	2
1713	match	2
1714	-	7
1715	match	3
1716	match	2
1717	match	2
1718	match	4
1719	match	8
1720	match	2
1721	match	2
1722	match	3
1723	match	2
1724	match	3
1725	match	4
1726	match	3
1727	match	3
1728	match	7
1729	match	5
1730	match	2
1731	match	3
1732	match	9
1733	match	2
1734	match	3
1735	match	2
1736	match	4
1737	match	2
1738	match	2
1739	match	2
1740	match	2
1741	match	9
1742	match	2
1743	match	4
1744	match	18
1745	match	10
1746	match	2
1747	match	3
1748	match	2
1749	match	2
1750	match	3
1751	match	2
1752	match	2
1753	match	2
1754	match	2
1755	match	2
1756	match	2
1757	match	2
1758	match	2
1759	match	3
1760	match	2
1761	match	2
1762	match	2
1763	match	2
1764	match	2
1765	match	3
1766	match	2
1767	match	2
1768	match	2
1769	match	4
1770	match	2
1771	match	2
1772	match	4
1773	match	2
1774	match	2
1775	match	2
1776	match	5
1777	match	16
1778	match	2
1779	match	2
1780	match	2
1781	match	2
1782	match	7
1783	match	2
1784	match	2
1785	match	2
1786	match	3
1787	match	3
1788	match	3
1789	match	5
1790	match	7
1791	-	6
1792	match	2
1793	match	4
1794	match	2
1795	match	2
1796	match	2
1797	match	6
1798	match	2
1799	match	2
1800	match	3
1801	match	8
1802	match	2
1803	match	4
1804	match	3
1805	-	4
1806	match	4
1807	match	3
1808	match	6
1809	match	5
1810	match	7
1811	match	2
1812	match	4
1813	match	2
1814	match	5
1815	match	2
1816	match	2
1817	match	2
1818	match	2
1819	match	2
1820	match	4
1821	match	4
1822	match	5
1823	match	2
1824	match	2
1825	match	2
1826	match	2
1827	match	14
1828	match	2
1829	match	2
1830	match	2
1831	match	2
1832	match	10
1833	-	4
1834	match	4
1835	match	2
1836	match	3
1837	match	3
1838	match	2
1839	match	3
1840	match	2
1841	match	2
1842	match	2
1843	match	2
1844	match	12
1845	match	2
1846	match	3
1847	match	2
1848	match	3
1849	match	7
1850	match	2
1851	match	2
1852	match	8
1853	match	2
1854	match	6
1855	match	8
1856	match	2
1857	match	6
1858	match	3
1859	match	2
1860	match	4
1861	match	4
1862	match	2
1863	match	5
1864	match	4
1865	-	3
1866	match	2
1867	match	2
1868	match	2
1869	match	2
1870	match	2
1871	match	3
1872	match	2
1873	match	5
1874	match	2
1875	match	2
1876	match	2
1877	match	2
1878	match	10
1879	match	2
1880	match	3
1881	match	2
1882	match	5
1883	match	2
1884	match	3
1885	match	4
1886	match	2
1887	match	2
1888	match	2
1889	match	3
1890	match	3
1891	match	2
1892	match	4
1893	match	2
1894	match	2
1895	match	5
1896	match	2
1897	match	2
1898	match	2
1899	match	3
1900	match	4
1901	match	3
1902	match	2
1903	match	2
1904	match	3
1905	match	2
1906	match	2
1907	match	2
1908	match	3
1909	match	2
1910	match	3
1911	match	5
1912	match	2
1913	match	4
1914	match	2
1915	match	2
1916	match	2
1917	match	2
1918	match	2
1919	match	2
1920	match	6
1921	match	3
